Publication_code,Author,Year,Title,Comparison_identifier,Animal,Strain,Sex,Comorbidity,Comorbidity_induction,Age_weeks_min,Age_weeks_mean,Age_weeks_max,Weight_g_min,Weight_g_mean,Weight_g_max,N_control_groups,N_animals_control,N_treatment_groups,N_animals_treatment,N_treatment_to_control,Effective_n_control,Primary_anaesthetic,Secondary_anaesthetic,Surgical_level,Brain_area,RB_dose,RB_dose_units,RB_dose_mgkg,Light_intensity,Light_intensity_units,Light_intensity_Wcm2,Light_type,Light_source,Light_wavelength,Light_aperture,Light_time,Treatment,Treatment_class,Treatment_dose,Treatment_dose_units,Treatment_initial_hour,Treatment_time_class,Infarct_time,Infarct_measurement,Infarct_mean_control,Infarct_error_control,Infarct_mean_treatment,Infarct_error_treatment,Infarct_diff_from_control,Infarct_diff_from_control_error,Infarct_units,Infarct_error_units,Infarct_percent_control,Infarct_percent_treatment,Infarct_SD_control,Infarct_SD_control_percent,Infarct_SD_treatment,Scale_type,Scale_score_control,Scale_error_control,Scale_score_treatment,Scale_error_treatment,Scale_error_units,Scale_time,Multiple_timepoints,Multiple_doses
Seto_2014,"Seto, A.",2014,Induction of ischemic stroke in awake freely moving mice reveals that isoflurane anesthesia can mask the benefits of a neuroprotection therapy,c,Mouse,C57BL/6,Male,None,NA,9,13,17,NR,NR,NR,3,10,7,9,2.333333333,4.285714286,Isoflurane,NA,Cranial window (awake induction),Middle cerebral artery (MCA),110,mg/kg,110,25,mW,NA,Diode laser,Diode laser,532,1,60,DHbetaE,Anti-inflammation,3,mg/kg,1.5,After stroke,24,Other histology (ex vivo),17.2,1.12,13.3,0.78,NA,NA,mm3,SEM,3.379772455,2.613428701,3.541750979,0.695948395,2.34,None,NA,NA,NA,NA,NA,NA,Yes,Yes
Seto_2014,"Seto, A.",2014,Induction of ischemic stroke in awake freely moving mice reveals that isoflurane anesthesia can mask the benefits of a neuroprotection therapy,d,Mouse,C57BL/6,Male,None,NA,9,13,17,NR,NR,NR,3,10,7,10,2.333333333,4.285714286,Isoflurane,NA,Cranial window (awake induction),Middle cerebral artery (MCA),110,mg/kg,110,25,mW,NA,Diode laser,Diode laser,532,1,60,Ro25-6981,Excitotoxicity,6,mg/kg,1.5,After stroke,24,Other histology (ex vivo),17.2,1.12,15.9,1.06,NA,NA,mm3,SEM,3.379772455,3.124324537,3.541750979,0.695948395,3.35201432,None,NA,NA,NA,NA,NA,NA,Yes,Yes
Shanina_2005,"Shanina, E. V.",2005,"Long-term effects of sequential cortical infarcts on scar size, brain volume and cognitive function",a,Rat,Wistar,Male,None,NA,NR,NR,NR,250,280,310,5,3,0,NA,NA,NA,Nitrous oxide,Enflurane,"Scalp retracted, skull intact",Forelimb sensorimotor cortex,1.3,mg/100g,13,15,W/cm2,15,Cold light,NR,NR,2.4,20,None,NA,NA,NA,NA,NA,168,Other histology (ex vivo),14.6,3.8,NA,NA,NA,NA,mm3,SD,0.740740741,NA,3.8,0.192795535,NA,None,NA,NA,NA,NA,NA,NA,Yes,No
Shimakura_2000,"Shimakura, A.",2000,Neutrophil elastase inhibition reduces cerebral ischemic damage in the middle cerebral artery occlusion,a,Rat,Wistar,Male,None,NA,NR,NR,NR,240,250,260,1,8,4,8,4,2,Halothane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,18,mW,NA,Xenon lamp,Xenon,540,3,10,ONO-5046,Anti-inflammation,30,mg/kg/h,0,During stroke,24,TTC (ex vivo),35.4,3.9,25.5,2.6,NA,NA,Indirect rLV % hemisphere,SE,17.7,12.75,11.03086579,5.515432893,7.353910524,Yamamoto 1988 score,3.5,0.76,2.5,0.53,SD,24,No,Yes
Shimakura_2000,"Shimakura, A.",2000,Neutrophil elastase inhibition reduces cerebral ischemic damage in the middle cerebral artery occlusion,b,Rat,Wistar,Male,None,NA,NR,NR,NR,240,250,260,1,8,4,6,4,2,Halothane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,18,mW,NA,Xenon lamp,Xenon,540,3,10,Anti-PMN antibody,Anti-oxidants,1,mg,-3,Before stroke,24,TTC (ex vivo),35.4,3.9,17.8,2.1,NA,NA,Indirect rLV % hemisphere,SE,17.7,8.9,11.03086579,5.515432893,5.14392846,Yamamoto 1988 score,NR,NR,NR,NR,NR,NR,No,No
Shin_2009,"Shin, T. K.",2009,Fluoxetine and sertraline attenuate postischemic brain injury in mice,a,Mouse,ICR,Male,None,NA,NR,NR,NR,25,27.5,30,1,6,2,6,2,3,Chloral hydrate,NA,"Scalp retracted, skull intact",NR,10,mg/ml,36.36363636,NR,NA,NA,LCD,NR,NR,4,10,Fluoxetine,Blood flow,10,mg/kg,1,After stroke,336,TTC (ex vivo),37.07,0.57,27.57,0.64,NA,NA,mm3,SEM,7.284195634,5.417460848,1.396209153,0.274352863,1.567673435,None,NA,NA,NA,NA,NA,NA,No,No
Shin_2009,"Shin, T. K.",2009,Fluoxetine and sertraline attenuate postischemic brain injury in mice,b,Mouse,ICR,Male,None,NA,NR,NR,NR,25,27.5,30,1,6,2,6,2,3,Chloral hydrate,NA,"Scalp retracted, skull intact",NR,10,mg/ml,36.36363636,NR,NA,NA,LCD,NR,NR,4,10,Sertraline,Blood flow,20,mg/kg,1,After stroke,336,TTC (ex vivo),37.07,0.57,28.21,0.64,NA,NA,mm3,SEM,7.284195634,5.543219823,1.396209153,0.274352863,1.567673435,None,NA,NA,NA,NA,NA,NA,No,No
Shiromoto_2017,"Shiromoto, T.",2017,The Role of Endogenous Neurogenesis in Functional Recovery and Motor Map Reorganization Induced by Rehabilitative Therapy after Stroke in Rats,a,Rat,Fischer 344,Male,None,NA,7,7.5,8,160,170,180,1,7,1,6,1,7,Ketamine,Xylazine,Skull breached,Caudal forelimb area,60,mg/kg,60,NR,NA,NA,Green laser,Diode-pumped solid state laser,532,2,15,Cytarabine (Ara-C),Harm induction,1,uL/h,96,After stroke,672,Other histology (ex vivo),9.09,2.25,9.82,2.37,NA,NA,Direct rLV % hemisphere,SD,4.545,4.91,2.25,1.125,2.37,None,NA,NA,NA,NA,NA,NA,No,No
Sist_2014,"Sist, B.",2014,"Plasticity beyond peri-infarct cortex: spinal up regulation of structural plasticity, neurotrophins, and inflammatory cytokines during recovery from cortical stroke",a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,350,375,400,8,NR,0,NA,NA,NA,Nitrous oxide,Isoflurane,Skull thinned,Forelimb sensorimotor cortex,30,mg/kg,30,50,mW,NA,NR,NR,532,3,NR,None,NA,NA,NA,NA,NA,672,Other histology (ex vivo),2.8,0.3,NA,NA,NA,NA,mm3,SEM,0.142059868,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,Yes,No
Sist_2014,"Sist, B.",2014,"Plasticity beyond peri-infarct cortex: spinal up regulation of structural plasticity, neurotrophins, and inflammatory cytokines during recovery from cortical stroke",b,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,350,375,400,8,NR,0,NA,NA,NA,Nitrous oxide,Isoflurane,Skull thinned,Forelimb sensorimotor cortex,30,mg/kg,30,50,mW,NA,NR,NR,532,6,NR,None,NA,NA,NA,NA,NA,672,Other histology (ex vivo),6.6,0.7,NA,NA,NA,NA,mm3,SEM,0.334855403,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,Yes,No
Snape_1993,"Snape, M. F.",1993,The effects of chlormethiazole and nimodipine on cortical infarct area after focal cerebral ischaemia in the rat,a,Rat,Lister Hooded Rat,Male,None,NA,NR,NR,NR,300,350,400,2,7,3,7,1.5,4.666666667,Nitrous oxide,Halothane,"Scalp retracted, skull intact",Parietal cortex,20,mg/kg,20,NR,NA,NA,Green laser,Diode-pumped solid state laser,NR,0.5,7,Chlormethiazole,Excitotoxicity,200,mg/kg,0.08,During stroke,24,TTC (ex vivo),9.18,1,6.57,0.59,NA,NA,mm2,SEM,NA,NA,2.645751311,NA,1.560993274,None,NA,NA,NA,NA,NA,NA,No,Yes
Snape_1993,"Snape, M. F.",1993,The effects of chlormethiazole and nimodipine on cortical infarct area after focal cerebral ischaemia in the rat,b,Rat,Lister Hooded Rat,Male,None,NA,NR,NR,NR,300,350,400,2,4,3,8,1.5,2.666666667,Nitrous oxide,Halothane,"Scalp retracted, skull intact",Parietal cortex,20,mg/kg,20,NR,NA,NA,Green laser,Diode-pumped solid state laser,NR,0.5,7,Nimodipine,Blood flow,0.5,mg/kg,0.08,During stroke,24,TTC (ex vivo),5.74,NR,6.93,NR,NA,NA,mm2,NR,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,No,No
Song_2018,"Song, H.",2018,Transcortical photothrombotic pyramidotomy model with persistent motor deficits,a,Rat,Sprague-Dawley,Male,None,NA,NR,8,NR,280,290,300,1,8,0,NA,NA,NA,Ketamine,Xylazine,Skull breached,Medullary pyramid,20,mg/kg,20,4,mW,NA,NR,NR,532,NR,3,None,NA,NA,NA,NA,NA,504,Other histology (ex vivo),2.2,1.2,NA,NA,NA,NA,mm3,SEM,0.111618468,NA,3.39411255,0.172202565,NA,None,NA,NA,NA,NA,NA,NA,No,No
Song_2017,"Song, H.",2017,Capsular stroke modeling based on somatotopic mapping of motor fibers,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,300,350,400,2,10,0,NA,NA,NA,Ketamine,Xylazine,Skull breached,Posterior Limb of the Internal Capsule (forelimb area),20,mg/kg,20,3.7,mW,NA,Green laser,Diode-pumped solid state laser,532,NR,1.5,None,NA,NA,NA,NA,NA,336,Other histology (ex vivo),1.67,0.64,NA,NA,NA,NA,mm3,SD,0.084728564,NA,0.64,0.032470827,NA,None,NA,NA,NA,NA,NA,NA,No,No
Song_2017,"Song, H.",2017,Capsular stroke modeling based on somatotopic mapping of motor fibers,b,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,300,350,400,2,10,0,NA,NA,NA,Ketamine,Xylazine,Skull breached,Posterior Limb of the Internal Capsule (hindlimb area),20,mg/kg,20,3.7,mW,NA,Green laser,Diode-pumped solid state laser,532,NR,1.5,None,NA,NA,NA,NA,NA,336,Other histology (ex vivo),1.29,0.37,NA,NA,NA,NA,mm3,SD,0.065449011,NA,0.37,0.018772197,NA,None,NA,NA,NA,NA,NA,NA,No,No
Stieg_1999,"Stieg, P. E.",1999,Neuroprotection by the NMDA receptor-associated open-channel blocker memantine in a photothrombotic model of cerebral focal ischemia in neonatal rat,a,Rat,Long Evans,NR,None,NA,1,1.2,1.4,20,23.5,27,1,12,1,12,1,12,Chloral hydrate,NA,"Scalp retracted, skull intact",NR,40,mg/kg,40,300,W,NA,Xenon lamp,Xenon,560,2,3,Memantine,Excitotoxicity,20,mg/kg,-0.25,Before stroke,144,MRI (in vivo),NR,NR,NR,NR,36.3,11.9,NR,NR,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,No,No
Stokowska_2017,"Stokowska, A.",2017,Complement peptide C3a stimulates neural plasticity after experimental brain ischaemia,a,Mouse,C57BL/6,Male,None,NA,30,34.5,39,35,40,45,3,10,0,NA,NA,NA,Isoflurane,NA,"Scalp retracted, skull intact",Somatosensory cortex,10,mg/ml,50,50,mW,NA,Cobolt,Cobolt,561,2,12,None,NA,NA,NA,NA,NA,504,Other histology (ex vivo),1.09,0.07,NA,NA,NA,NA,mm3,SEM,0.214183254,NA,0.221359436,0.043496775,NA,None,NA,NA,NA,NA,NA,NA,No,No
Stokowska_2017,"Stokowska, A.",2017,Complement peptide C3a stimulates neural plasticity after experimental brain ischaemia,b,Mouse,C3aR-/-,Male,None,NA,30,34.5,39,35,40,45,3,14,0,NA,NA,NA,Isoflurane,NA,"Scalp retracted, skull intact",Somatosensory cortex,10,mg/ml,50,50,mW,NA,Cobolt,Cobolt,561,2,12,None,NA,NA,NA,NA,NA,504,Other histology (ex vivo),1.34,0.08,NA,NA,NA,NA,mm3,SEM,0.263307854,NA,0.299332591,0.058818375,NA,None,NA,NA,NA,NA,NA,NA,No,No
Stokowska_2017,"Stokowska, A.",2017,Complement peptide C3a stimulates neural plasticity after experimental brain ischaemia,c,Mouse,GFAP-C3a,Male,None,NA,30,34.5,39,35,40,45,3,12,0,NA,NA,NA,Isoflurane,NA,"Scalp retracted, skull intact",Somatosensory cortex,10,mg/ml,50,50,mW,NA,Cobolt,Cobolt,561,2,12,None,NA,NA,NA,NA,NA,504,Other histology (ex vivo),2.14,0.24,NA,NA,NA,NA,mm3,SEM,0.420506573,NA,0.831384388,0.163365701,NA,None,NA,NA,NA,NA,NA,NA,No,No
Stokowska_2017,"Stokowska, A.",2017,Complement peptide C3a stimulates neural plasticity after experimental brain ischaemia,d,Mouse,C57BL/6CNr,Male,None,NA,NR,22,NR,30,32.5,35,1,14,1,14,1,14,Isoflurane,NA,"Scalp retracted, skull intact",Motor cortex,10,mg/ml,61.53846154,50,mW,NA,Cobolt,Cobolt,561,2,15,C3a peptide,Anti-inflammation,1.13,ug/kg,168,After stroke,504,Other histology (ex vivo),0.89,0.06,0.98,0.12,NA,NA,mm3,SEM,0.174883575,0.192568431,0.224499443,0.044113781,0.448998886,None,NA,NA,NA,NA,NA,NA,No,No
Su_2011,"Su, E. J.",2011,The thrombomodulin analog Solulin promotes reperfusion and reduces infarct volume in a thrombotic stroke model,a,Mouse,C57BL/6,Male,None,NA,NR,10,NR,NR,NR,NR,2,6,2,10,1,6,Chloral hydrate,NA,Skull breached,Middle cerebral artery (MCA),50,mg/kg,50,3.5,mW,NA,Green laser,Diode-pumped solid state laser,540,NR,NR,Solulin,Thrombolytics,1,mg/kg,0.5,After stroke,72,TTC (ex vivo),25.13,2.17,13.95,1.43,NA,NA,Direct rLV % hemisphere,SEM,12.565,6.975,5.315392742,2.657696371,4.522057054,None,NA,NA,NA,NA,NA,NA,No,Yes
Su_2011,"Su, E. J.",2011,The thrombomodulin analog Solulin promotes reperfusion and reduces infarct volume in a thrombotic stroke model,b,Mouse,FV Leiden,Male,None,NA,NR,10,NR,NR,NR,NR,1,8,1,9,1,8,Chloral hydrate,NA,Skull breached,Middle cerebral artery (MCA),50,mg/kg,50,3.5,mW,NA,Green laser,Diode-pumped solid state laser,540,NR,NR,Solulin,Thrombolytics,1,mg/kg,1,After stroke,72,TTC (ex vivo),26.04,1.06,26.04,1.35,NA,NA,Direct rLV % hemisphere,SEM,13.02,13.02,2.998132752,1.499066376,4.05,None,NA,NA,NA,NA,NA,NA,No,No
Summers_2017,"Summers, P. M.",2017,Functional deficits induced by cortical microinfarcts,a,Mouse,C57BL/6,Male,None,NA,13,19.5,26,NR,NR,NR,1,3,0,NA,NA,NA,Isoflurane,NA,Skull breached,Sensorimotor cortex,0.025,mL,NA,1,mW,NA,Continuous wave (CW) laser light,NR,532,0.02,0.5,None,NA,NA,NA,NA,NA,72,MRI (in vivo),192,58,NA,NA,NA,NA,um (radius),SEM,NA,NA,100.4589468,NA,NA,None,NA,NA,NA,NA,NA,NA,Yes,No
Suzuki_2004,"Suzuki, Y.",2004,Microplasmin reduces ischemic brain damage and improves neurological function in a rat stroke model monitored with MRI,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,220,285,350,1,8,2,8,2,4,Halothane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,NR,10,Microplasmin,Thrombolytics,7.5,mg/kg,1.5,After stroke,24,TTC (ex vivo),250,69,150,30,NA,NA,mm3,SD,12.68391679,7.610350076,69,3.500761035,30,Bederson Scale,NR,NR,NR,NR,NR,24,No,Yes
Suzuki_2003,"Suzuki, Y.",2003,Ability of NMDA and non-NMDA receptor antagonists to inhibit cerebral ischemic damage in aged rats,a,Rat,Sprague-Dawley,Male,None,NA,NR,8,NR,250,285,320,4,8,4,8,1,8,Halothane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,0.68,W/cm2,0.68,Xenon lamp,Xenon,540,3,10,MK-801 (dizocilpine maleate),Excitotoxicity,0.1,mg/kg,0,During stroke,24,TTC (ex vivo),17.6,1.23,12.62,1.9,NA,NA,Indirect rLV % hemisphere,SE,8.8,6.31,3.478965363,1.739482682,5.374011537,None,NA,NA,NA,NA,NA,NA,No,No
Suzuki_2003,"Suzuki, Y.",2003,Ability of NMDA and non-NMDA receptor antagonists to inhibit cerebral ischemic damage in aged rats,b,Rat,Sprague-Dawley,Male,None,NA,NR,8,NR,250,285,320,4,8,4,8,1,8,Halothane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,0.68,W/cm2,0.68,Xenon lamp,Xenon,540,3,10,NBQX,Excitotoxicity,30,mg,0,During stroke,24,TTC (ex vivo),18.24,1.45,12.36,1.26,NA,NA,Indirect rLV % hemisphere,SE,9.12,6.18,4.101219331,2.050609665,3.563818177,None,NA,NA,NA,NA,NA,NA,No,No
Suzuki_2003,"Suzuki, Y.",2003,Ability of NMDA and non-NMDA receptor antagonists to inhibit cerebral ischemic damage in aged rats,c,Rat,Sprague-Dawley,Male,Aged,NA,NR,104,NR,450,575,700,4,8,4,8,1,8,Halothane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,0.68,W/cm2,0.68,Xenon lamp,Xenon,540,3,10,MK-801 (dizocilpine maleate),Excitotoxicity,0.1,mg/kg,0,During stroke,24,TTC (ex vivo),18.1,0.85,15.55,1.4,NA,NA,Indirect rLV % hemisphere,SE,9.05,7.775,2.404163056,1.202081528,3.959797975,None,NA,NA,NA,NA,NA,NA,No,No
Suzuki_2003,"Suzuki, Y.",2003,Ability of NMDA and non-NMDA receptor antagonists to inhibit cerebral ischemic damage in aged rats,d,Rat,Sprague-Dawley,Male,Aged,NA,NR,104,NR,450,575,700,4,6,4,6,1,6,Halothane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,0.68,W/cm2,0.68,Xenon lamp,Xenon,540,3,10,NBQX,Excitotoxicity,30,mg,0,During stroke,24,TTC (ex vivo),20.46,2.14,19.05,2.33,NA,NA,Indirect rLV % hemisphere,SE,10.23,9.525,5.24190805,2.620954025,5.707311101,None,NA,NA,NA,NA,NA,NA,No,No
Takamatsu_1998,"Takamatsu, H.",1998,Neuroprotective effects depend on the model of focal ischemia following middle cerebral artery occlusion,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,280,290,300,6,9,6,8,1,9,Halothane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,NR,10,MK-801 (dizocilpine maleate),Excitotoxicity,0.1,mg/kg,0,During stroke,24,TTC (ex vivo),202.4,8.5,126.1,20.3,NA,NA,mm3,SEM,10.26889904,6.397767631,25.5,1.293759513,57.41707063,None,NA,NA,NA,NA,NA,NA,No,No
Takamatsu_1998,"Takamatsu, H.",1998,Neuroprotective effects depend on the model of focal ischemia following middle cerebral artery occlusion,b,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,280,290,300,6,8,6,8,1,8,Halothane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,NR,10,YM90K,Nootropics/cognition,30,mg/kg/h,0,During stroke,24,TTC (ex vivo),195.8,9.8,122.6,10.3,NA,NA,mm3,SEM,9.934043633,6.220192796,27.71858582,1.406320945,29.13279938,None,NA,NA,NA,NA,NA,NA,No,No
Takamatsu_1998,"Takamatsu, H.",1998,Neuroprotective effects depend on the model of focal ischemia following middle cerebral artery occlusion,c,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,280,290,300,6,9,6,9,1,9,Halothane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,NR,10,S-312-d,Blood flow,0.3,mg/kg,0,During stroke,24,TTC (ex vivo),228.9,9.7,164.7,13.3,NA,NA,mm3,SEM,11.61339422,8.356164384,29.1,1.476407915,39.9,None,NA,NA,NA,NA,NA,NA,No,No
Takamatsu_1998,"Takamatsu, H.",1998,Neuroprotective effects depend on the model of focal ischemia following middle cerebral artery occlusion,d,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,280,290,300,6,8,6,8,1,8,Halothane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,NR,10,Edaravone (MCI-186),Anti-oxidants,6,mg/kg/h,0,During stroke,24,TTC (ex vivo),206.2,14.4,158.8,27,NA,NA,mm3,SEM,10.46169457,8.056823947,40.7293506,2.066430776,76.36753237,None,NA,NA,NA,NA,NA,NA,No,No
Takamatsu_1998,"Takamatsu, H.",1998,Neuroprotective effects depend on the model of focal ischemia following middle cerebral artery occlusion,e,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,280,290,300,6,8,6,8,1,8,Halothane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,NR,10,EPC-K1,Anti-oxidants,10,mg/kg,3,After stroke,24,TTC (ex vivo),239.6,10.6,149.3,14.9,NA,NA,mm3,SEM,12.15626585,7.574835109,29.98132752,1.521122655,42.14356416,None,NA,NA,NA,NA,NA,NA,No,No
Takamatsu_1998,"Takamatsu, H.",1998,Neuroprotective effects depend on the model of focal ischemia following middle cerebral artery occlusion,f,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,280,290,300,6,9,6,8,1,9,Halothane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,NR,10,FK506 (Tacrolimus),Other,0.3,mg/kg,0,During stroke,24,TTC (ex vivo),225.1,6.5,156.6,19.2,NA,NA,mm3,SEM,11.42059868,7.945205479,19.5,0.98934551,54.3058008,None,NA,NA,NA,NA,NA,NA,No,No
Takamatsu_2000,"Takamatsu, H.",2000,Changes in local cerebral blood flow in photochemically induced thrombotic occlusion model in rats,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,280,290,300,4,7.5,0,NA,NA,NA,Halothane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,NR,10,None,NA,NA,NA,NA,NA,24,Other histology (ex vivo),21.77,1.67,NA,NA,NA,NA,Indirect rLV % whole brain,SD,21.77,NA,1.67,1.67,NA,None,NA,NA,NA,NA,NA,NA,Yes,No
Takamatsu_2002,"Takamatsu, H.",2002,Time courses of progress to the chronic stage of middle cerebral artery occlusion models in rats,a,Rat,Sprague-Dawley,Male,None,NA,NR,9,NR,280,290,300,18,8,0,NA,NA,NA,Halothane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,NR,10,None,NA,NA,NA,NA,NA,24,Other histology (ex vivo),17.45,3.47,NA,NA,NA,NA,Indirect rLV % whole brain,SD,17.45,NA,3.47,3.47,NA,Bederson Scale,9.87,1.53,NA,NA,SD,24,Yes,No
Takeshima_2011,"Takeshima, Y.",2011,Neuroprotection with intraventricular brain-derived neurotrophic factor in rat venous occlusion model,a,Rat,Wistar,Male,None,NA,NR,NR,NR,240,260,280,2,8,2,6,1,8,Chloral hydrate,NA,Skull breached,NR,50,mg/kg,50,7000,lux,0.00102487,Fibre-optic,NR,540,NR,20,BDNF (Brain-derived neurotrophic factor),Anti-apoptosis/regeneration,2.1,ug/day,NR,During stroke,48,Other histology (ex vivo),3.66,1.51,1.49,1.44,NA,NA,Direct rLV % hemisphere,SD,1.83,0.745,1.51,0.755,1.44,None,NA,NA,NA,NA,NA,NA,Yes,No
Takizawa_2009,"Takizawa, S.",2009,A sartan derivative with a very low angiotensin II receptor affinity ameliorates ischemic cerebral damage,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,267,278,289,1,10,2,10,2,5,Halothane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,600000,lux,0.087846,Xenon lamp,Xenon,540,3,10,R-147176,Multiple mechanisms,10,mg/kg,-168,Before stroke,24,TTC (ex vivo),320.6,30.1,252.3,55,NA,NA,mm3,SD,16.2658549,12.80060883,30.1,1.527143582,55,Bederson Scale,2.7,0.5,2.4,0.5,SD,24,No,Yes
Tamao_1997,"Tamao, Y.",1997,"Effect of argatroban, a selective thrombin inhibitor, on animal models of cerebral thrombosis",a,Rat,NR,Male,None,NA,NR,NR,NR,NR,NR,NR,2,10,2,10,1,10,NR,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,NR,10,Argatroban,Thrombolytics,40,mg/kg,0,During stroke,6,Other histology (ex vivo),13.66,1.9,6.79,0.4,NA,NA,Direct rLV % whole brain,SEM,13.66,6.79,6.008327554,6.008327554,1.264911064,None,NA,NA,NA,NA,NA,NA,Yes,No
Tamura_2011,"Tamura, K.",2011,"The effect of a gap-junction blocker, carbenoxolone, on ischemic brain injury and cortical spreading depression",a,Rat,Wistar,Male,None,NA,NR,NR,NR,356.27,360.8,365.33,1,6,2,6,2,3,Chloral hydrate,NA,Skull breached,NR,37.5,mg/kg,37.5,7000,lux,0.00102487,Mercury lamp,Mercury,540,0.1,25,CBX (Carbenoxolone),Nootropics/cognition,250,ug,0.5,After stroke,168,Other histology (ex vivo),1.46,0.23,3.04,0.4,NA,NA,mm3,SEM,0.074074074,0.154236428,0.563382641,0.028583594,0.979795897,None,NA,NA,NA,NA,NA,NA,No,Yes
Tanaka_2007_a,"Tanaka, Y.",2007,Serum S100B is a useful surrogate marker for long-term outcomes in photochemically-induced thrombotic stroke rat models,a,Rat,Wistar,Male,None,NA,NR,9,NR,NR,NR,NR,2,7,0,NA,NA,NA,Isoflurane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,800000,lux,0.117128,Xenon lamp,Xenon,540,3,10,None,NA,NA,NA,NA,NA,168,TTC (ex vivo),150.8,7.1,NA,NA,NA,NA,mm3,SE,7.65093861,NA,18.78483431,0.953061101,NA,Other,14.43,0.69,NA,NA,SE,168,No,No
Tanaka_2007_a,"Tanaka, Y.",2007,Serum S100B is a useful surrogate marker for long-term outcomes in photochemically-induced thrombotic stroke rat models,b,Rat,Wistar,Male,None,NA,NR,9,NR,NR,NR,NR,2,8,0,NA,NA,NA,Isoflurane,NA,Skull breached,Middle cerebral artery (MCA),10,mg/kg,10,800000,lux,0.117128,Xenon lamp,Xenon,540,3,10,None,NA,NA,NA,NA,NA,168,TTC (ex vivo),90,9.2,NA,NA,NA,NA,mm3,SE,4.566210046,NA,26.02152955,1.320219662,NA,Other,9.25,1.16,NA,NA,SE,168,No,No
Tanaka_2007_a,"Tanaka, Y.",2007,Serum S100B is a useful surrogate marker for long-term outcomes in photochemically-induced thrombotic stroke rat models,c,Rat,Wistar,Male,None,NA,NR,9,NR,NR,NR,NR,1,15,1,15,1,15,Isoflurane,NA,Skull breached,Middle cerebral artery (MCA),10,mg/kg,10,800000,lux,0.117128,Xenon lamp,Xenon,540,3,10,MK-801 (dizocilpine maleate),Excitotoxicity,3,mg/kg,0,During stroke,168,TTC (ex vivo),84.4,9.3,40.3,4.5,NA,NA,mm3,SE,4.282090309,2.044647387,36.01874512,1.827435064,17.42842506,Other,10.7,1,5,0.9,SE,168,No,No
Tanaka_2007_b,"Tanaka, Y.",2007,Quantitative assessments of cerebral vascular damage with a silicon rubber casting method in photochemically-induced thrombotic stroke rat models,a,Rat,Wistar,Male,None,NA,NR,9,NR,NR,NR,NR,2,6,0,NA,NA,NA,Isoflurane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,800000,lux,0.117128,Xenon lamp,Xenon,540,3,10,None,NA,NA,NA,NA,NA,24,Other histology (ex vivo),215.74,12.76,NA,NA,NA,NA,mm3,NR,10.94571284,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,Yes,No
